company_id,pros,cons,score,recommendation,confidence,top_pros,top_cons,summary
INFY,8,1,6.35,Strong Buy,0.95,High ROE (29.8%); Low debt levels,Requires further financial monitoring,INFY is rated Strong Buy with 95% confidence. Key strengths include high roe (29.8%); low debt levels. Investors should monitor requires further financial monitoring. 
TCS,8,1,6.35,Strong Buy,0.95,High ROE (50.9%); Low debt levels,Requires further financial monitoring,TCS is rated Strong Buy with 95% confidence. Key strengths include high roe (50.9%); low debt levels. Investors should monitor requires further financial monitoring. 
ABB,7,1,5.45,Strong Buy,0.95,High ROE (32.5%); Low debt levels,Requires further financial monitoring,ABB is rated Strong Buy with 95% confidence. Key strengths include high roe (32.5%); low debt levels. Investors should monitor requires further financial monitoring. 
ASIANPAINT,7,1,5.45,Strong Buy,0.95,High ROE (29.7%); Low debt levels,Requires further financial monitoring,ASIANPAINT is rated Strong Buy with 95% confidence. Key strengths include high roe (29.7%); low debt levels. Investors should monitor requires further financial monitoring. 
NESTLEIND,7,1,5.45,Strong Buy,0.95,High ROE (117.8%); Low debt levels,Requires further financial monitoring,NESTLEIND is rated Strong Buy with 95% confidence. Key strengths include high roe (117.8%); low debt levels. Investors should monitor requires further financial monitoring. 
COALINDIA,6,1,4.65,Strong Buy,0.95,High ROE (45.2%); Low debt levels,Requires further financial monitoring,COALINDIA is rated Strong Buy with 95% confidence. Key strengths include high roe (45.2%); low debt levels. Investors should monitor requires further financial monitoring. 
EICHERMOT,6,1,4.65,Strong Buy,0.95,High ROE (22.2%); Low debt levels,Requires further financial monitoring,EICHERMOT is rated Strong Buy with 95% confidence. Key strengths include high roe (22.2%); low debt levels. Investors should monitor requires further financial monitoring. 
HINDUNILVR,6,1,4.65,Strong Buy,0.95,High ROE (20.1%); Low debt levels,Requires further financial monitoring,HINDUNILVR is rated Strong Buy with 95% confidence. Key strengths include high roe (20.1%); low debt levels. Investors should monitor requires further financial monitoring. 
IRCTC,6,1,4.65,Strong Buy,0.95,High ROE (34.4%); Low debt levels,Requires further financial monitoring,IRCTC is rated Strong Buy with 95% confidence. Key strengths include high roe (34.4%); low debt levels. Investors should monitor requires further financial monitoring. 
ITC,6,1,4.65,Strong Buy,0.95,High ROE (27.9%); Low debt levels,Requires further financial monitoring,ITC is rated Strong Buy with 95% confidence. Key strengths include high roe (27.9%); low debt levels. Investors should monitor requires further financial monitoring. 
BAJAJ-AUTO,6,1,4.55,Strong Buy,0.95,High ROE (26.6%); Low debt levels,Requires further financial monitoring,BAJAJ-AUTO is rated Strong Buy with 95% confidence. Key strengths include high roe (26.6%); low debt levels. Investors should monitor requires further financial monitoring. 
HAL,6,1,4.55,Strong Buy,0.95,High ROE (3816.6%); Healthy net profit margin,Requires further financial monitoring,HAL is rated Strong Buy with 95% confidence. Key strengths include high roe (3816.6%); healthy net profit margin. Investors should monitor requires further financial monitoring. 
HCLTECH,6,1,4.55,Strong Buy,0.95,High ROE (23.0%); Low debt levels,Requires further financial monitoring,HCLTECH is rated Strong Buy with 95% confidence. Key strengths include high roe (23.0%); low debt levels. Investors should monitor requires further financial monitoring. 
