company_id,type,reason,confidence
ABB,Pro,High ROE (32.5%),0.95
ABB,Pro,Low debt levels,0.9
ABB,Pro,Healthy net profit margin,0.9
ABB,Pro,Strong operating margin,0.9
ABB,Pro,Comfortable interest coverage,0.9
ABB,Pro,Positive free cash flow,0.85
ABB,Pro,Efficient asset utilization,0.8
ABB,Con,Requires further financial monitoring,0.75
ADANIENSOL,Con,Low ROE (9.5%),0.9
ADANIENSOL,Con,High debt levels,0.9
ADANIENSOL,Pro,Strong operating margin,0.9
ADANIENSOL,Pro,Positive free cash flow,0.85
ADANIENT,Con,Low ROE (8.5%),0.9
ADANIENT,Con,High debt levels,0.9
ADANIENT,Con,Weak profitability,0.85
ADANIENT,Con,Negative free cash flow,0.9
ADANIENT,Pro,Stable financial performance,0.75
ADANIGREEN,Con,High debt levels,0.9
ADANIGREEN,Pro,Strong operating margin,0.9
ADANIGREEN,Con,Low interest coverage,0.9
ADANIGREEN,Con,Negative free cash flow,0.9
ADANIPORTS,Pro,Healthy net profit margin,0.9
ADANIPORTS,Pro,Strong operating margin,0.9
ADANIPORTS,Pro,Comfortable interest coverage,0.9
ADANIPORTS,Pro,Positive free cash flow,0.85
ADANIPORTS,Con,Requires further financial monitoring,0.75
ADANIPOWER,Pro,High ROE (48.3%),0.95
ADANIPOWER,Pro,Healthy net profit margin,0.9
ADANIPOWER,Pro,Strong operating margin,0.9
ADANIPOWER,Pro,Comfortable interest coverage,0.9
ADANIPOWER,Pro,Positive free cash flow,0.85
ADANIPOWER,Con,Requires further financial monitoring,0.75
AMBUJACEM,Pro,Low debt levels,0.9
AMBUJACEM,Pro,Comfortable interest coverage,0.9
AMBUJACEM,Con,Negative free cash flow,0.9
APOLLOHOSP,Con,Weak profitability,0.85
APOLLOHOSP,Pro,Comfortable interest coverage,0.9
APOLLOHOSP,Pro,Positive free cash flow,0.85
APOLLOHOSP,Pro,Efficient asset utilization,0.8
ASIANPAINT,Pro,High ROE (29.7%),0.95
ASIANPAINT,Pro,Low debt levels,0.9
ASIANPAINT,Pro,Healthy net profit margin,0.9
ASIANPAINT,Pro,Strong operating margin,0.9
ASIANPAINT,Pro,Comfortable interest coverage,0.9
ASIANPAINT,Pro,Positive free cash flow,0.85
ASIANPAINT,Pro,Efficient asset utilization,0.8
ASIANPAINT,Con,Requires further financial monitoring,0.75
BAJAJ-AUTO,Pro,High ROE (26.6%),0.95
BAJAJ-AUTO,Pro,Low debt levels,0.9
BAJAJ-AUTO,Pro,Healthy net profit margin,0.9
BAJAJ-AUTO,Pro,Comfortable interest coverage,0.9
BAJAJ-AUTO,Pro,Positive free cash flow,0.85
BAJAJ-AUTO,Pro,Efficient asset utilization,0.8
BAJAJ-AUTO,Con,Requires further financial monitoring,0.75
AXISBANK,Con,High debt levels,0.9
AXISBANK,Pro,Healthy net profit margin,0.9
AXISBANK,Pro,Strong operating margin,0.9
AXISBANK,Con,Low interest coverage,0.9
AXISBANK,Con,Negative free cash flow,0.9
BAJAJFINSV,Pro,High ROE (25.9%),0.95
BAJAJFINSV,Con,High debt levels,0.9
BAJAJFINSV,Pro,Strong operating margin,0.9
BAJAJFINSV,Con,Negative free cash flow,0.9
BAJAJHLDNG,Pro,Low debt levels,0.9
BAJAJHLDNG,Pro,Healthy net profit margin,0.9
BAJAJHLDNG,Pro,Strong operating margin,0.9
BAJAJHLDNG,Pro,Comfortable interest coverage,0.9
BAJAJHLDNG,Pro,Positive free cash flow,0.85
BAJAJHLDNG,Con,Requires further financial monitoring,0.75
BAJFINANCE,Con,High debt levels,0.9
BAJFINANCE,Pro,Healthy net profit margin,0.9
BAJFINANCE,Pro,Strong operating margin,0.9
BAJFINANCE,Pro,Comfortable interest coverage,0.9
BAJFINANCE,Con,Negative free cash flow,0.9
BANKBARODA,Con,High debt levels,0.9
BANKBARODA,Pro,Healthy net profit margin,0.9
BANKBARODA,Pro,Strong operating margin,0.9
BANKBARODA,Con,Low interest coverage,0.9
BANKBARODA,Con,Negative free cash flow,0.9
BHARTIARTL,Con,High debt levels,0.9
BHARTIARTL,Pro,Strong operating margin,0.9
BHARTIARTL,Pro,Positive free cash flow,0.85
BEL,Pro,High ROE (4744.1%),0.95
BEL,Pro,Healthy net profit margin,0.9
BEL,Pro,Strong operating margin,0.9
BEL,Pro,Comfortable interest coverage,0.9
BEL,Con,Negative free cash flow,0.9
BEL,Pro,Efficient asset utilization,0.8
BHEL,Con,Low ROE (1.1%),0.9
BHEL,Pro,Low debt levels,0.9
BHEL,Con,Weak profitability,0.85
BHEL,Con,Weak operating margin,0.85
BHEL,Con,Low interest coverage,0.9
BHEL,Con,Negative free cash flow,0.9
BOSCHLTD,Pro,High ROE (20.6%),0.95
BOSCHLTD,Pro,Low debt levels,0.9
BOSCHLTD,Pro,Comfortable interest coverage,0.9
BOSCHLTD,Pro,Positive free cash flow,0.85
BOSCHLTD,Con,Requires further financial monitoring,0.75
BPCL,Pro,High ROE (35.5%),0.95
BPCL,Con,Weak operating margin,0.85
BPCL,Pro,Comfortable interest coverage,0.9
BPCL,Pro,Positive free cash flow,0.85
BPCL,Pro,Efficient asset utilization,0.8
BRITANNIA,Pro,High ROE (54.1%),0.95
BRITANNIA,Pro,Comfortable interest coverage,0.9
BRITANNIA,Pro,Positive free cash flow,0.85
BRITANNIA,Pro,Efficient asset utilization,0.8
BRITANNIA,Con,Requires further financial monitoring,0.75
CANBK,Con,High debt levels,0.9
CANBK,Pro,Strong operating margin,0.9
CANBK,Con,Low interest coverage,0.9
CANBK,Pro,Positive free cash flow,0.85
CHOLAFIN,Con,High debt levels,0.9
CHOLAFIN,Pro,Healthy net profit margin,0.9
CHOLAFIN,Pro,Strong operating margin,0.9
CHOLAFIN,Pro,Comfortable interest coverage,0.9
CHOLAFIN,Con,Negative free cash flow,0.9
CIPLA,Pro,Low debt levels,0.9
CIPLA,Pro,Healthy net profit margin,0.9
CIPLA,Pro,Strong operating margin,0.9
CIPLA,Pro,Comfortable interest coverage,0.9
CIPLA,Pro,Positive free cash flow,0.85
CIPLA,Con,Requires further financial monitoring,0.75
COALINDIA,Pro,High ROE (45.2%),0.95
COALINDIA,Pro,Low debt levels,0.9
COALINDIA,Pro,Healthy net profit margin,0.9
COALINDIA,Pro,Strong operating margin,0.9
COALINDIA,Pro,Comfortable interest coverage,0.9
COALINDIA,Pro,Positive free cash flow,0.85
COALINDIA,Con,Requires further financial monitoring,0.75
DABUR,Pro,Low debt levels,0.9
DABUR,Pro,Comfortable interest coverage,0.9
DABUR,Pro,Positive free cash flow,0.85
DABUR,Con,Requires further financial monitoring,0.75
DIVISLAB,Pro,Low debt levels,0.9
DIVISLAB,Pro,Healthy net profit margin,0.9
DIVISLAB,Pro,Strong operating margin,0.9
DIVISLAB,Pro,Comfortable interest coverage,0.9
DIVISLAB,Pro,Positive free cash flow,0.85
DIVISLAB,Con,Requires further financial monitoring,0.75
DLF,Con,Low ROE (6.9%),0.9
DLF,Pro,Low debt levels,0.9
DLF,Pro,Healthy net profit margin,0.9
DLF,Pro,Strong operating margin,0.9
DLF,Pro,Comfortable interest coverage,0.9
DLF,Pro,Positive free cash flow,0.85
DMART,Pro,Low debt levels,0.9
DMART,Con,Weak profitability,0.85
DMART,Con,Weak operating margin,0.85
DMART,Pro,Comfortable interest coverage,0.9
DMART,Pro,Positive free cash flow,0.85
DMART,Pro,Efficient asset utilization,0.8
DRREDDY,Pro,Low debt levels,0.9
DRREDDY,Pro,Healthy net profit margin,0.9
DRREDDY,Pro,Strong operating margin,0.9
DRREDDY,Pro,Comfortable interest coverage,0.9
DRREDDY,Pro,Positive free cash flow,0.85
DRREDDY,Con,Requires further financial monitoring,0.75
EICHERMOT,Pro,High ROE (22.2%),0.95
EICHERMOT,Pro,Low debt levels,0.9
EICHERMOT,Pro,Healthy net profit margin,0.9
EICHERMOT,Pro,Strong operating margin,0.9
EICHERMOT,Pro,Comfortable interest coverage,0.9
EICHERMOT,Pro,Positive free cash flow,0.85
EICHERMOT,Con,Requires further financial monitoring,0.75
GAIL,Pro,Low debt levels,0.9
GAIL,Pro,Comfortable interest coverage,0.9
GAIL,Pro,Positive free cash flow,0.85
GAIL,Pro,Efficient asset utilization,0.8
GAIL,Con,Requires further financial monitoring,0.75
GODREJCP,Con,Low ROE (-4.5%),0.9
GODREJCP,Pro,Low debt levels,0.9
GODREJCP,Con,Weak profitability,0.85
GODREJCP,Pro,Strong operating margin,0.9
GODREJCP,Con,Negative free cash flow,0.9
GRASIM,Con,High debt levels,0.9
GRASIM,Pro,Strong operating margin,0.9
GRASIM,Con,Negative free cash flow,0.9
HAL,Pro,High ROE (3816.6%),0.95
HAL,Pro,Healthy net profit margin,0.9
HAL,Pro,Strong operating margin,0.9
HAL,Pro,Comfortable interest coverage,0.9
HAL,Pro,Positive free cash flow,0.85
HAL,Pro,Efficient asset utilization,0.8
HAL,Con,Requires further financial monitoring,0.75
HAVELLS,Pro,Low debt levels,0.9
HAVELLS,Pro,Comfortable interest coverage,0.9
HAVELLS,Pro,Positive free cash flow,0.85
HAVELLS,Pro,Efficient asset utilization,0.8
HAVELLS,Con,Requires further financial monitoring,0.75
HCLTECH,Pro,High ROE (23.0%),0.95
HCLTECH,Pro,Low debt levels,0.9
HCLTECH,Pro,Strong operating margin,0.9
HCLTECH,Pro,Comfortable interest coverage,0.9
HCLTECH,Pro,Positive free cash flow,0.85
HCLTECH,Pro,Efficient asset utilization,0.8
HCLTECH,Con,Requires further financial monitoring,0.75
HDFCBANK,Con,High debt levels,0.9
HDFCBANK,Pro,Healthy net profit margin,0.9
HDFCBANK,Pro,Strong operating margin,0.9
HDFCBANK,Con,Low interest coverage,0.9
HDFCBANK,Pro,Positive free cash flow,0.85
HDFCBANK,Pro,Strong sales CAGR (21.0%),0.95
HDFCBANK,Pro,Strong profit CAGR (22.0%),0.95
HDFCLIFE,Pro,Low debt levels,0.9
HDFCLIFE,Con,Weak profitability,0.85
HDFCLIFE,Pro,Strong operating margin,0.9
HDFCLIFE,Pro,Comfortable interest coverage,0.9
HDFCLIFE,Con,Negative free cash flow,0.9
HEROMOTOCO,Pro,High ROE (21.1%),0.95
HEROMOTOCO,Pro,Low debt levels,0.9
HEROMOTOCO,Pro,Strong operating margin,0.9
HEROMOTOCO,Pro,Comfortable interest coverage,0.9
HEROMOTOCO,Pro,Positive free cash flow,0.85
HEROMOTOCO,Pro,Efficient asset utilization,0.8
HEROMOTOCO,Con,Requires further financial monitoring,0.75
HINDALCO,Con,Low ROE (9.6%),0.9
HINDALCO,Con,Weak profitability,0.85
HINDALCO,Pro,Strong operating margin,0.9
HINDALCO,Pro,Comfortable interest coverage,0.9
HINDALCO,Pro,Positive free cash flow,0.85
HINDUNILVR,Pro,High ROE (20.1%),0.95
HINDUNILVR,Pro,Low debt levels,0.9
HINDUNILVR,Pro,Healthy net profit margin,0.9
HINDUNILVR,Pro,Strong operating margin,0.9
HINDUNILVR,Pro,Comfortable interest coverage,0.9
HINDUNILVR,Pro,Positive free cash flow,0.85
HINDUNILVR,Con,Requires further financial monitoring,0.75
ICICIBANK,Con,High debt levels,0.9
ICICIBANK,Pro,Healthy net profit margin,0.9
ICICIBANK,Pro,Strong operating margin,0.9
ICICIBANK,Con,Low interest coverage,0.9
ICICIBANK,Pro,Positive free cash flow,0.85
ICICIGI,Pro,Low debt levels,0.9
ICICIGI,Pro,Strong operating margin,0.9
ICICIGI,Pro,Comfortable interest coverage,0.9
